4978,4234,2901,1925
16651,10959,6080,3660
741,610,209,167
3715,3298,2083,1470
3914,2915,2741,1777
223,117,112,55
91,79,53,37
1230,977,755,506
1736,1069,1248,888
4214,3058,2703,1759
1591,1218,390,294
1271,1002,750,430
935,701,749,519
738,351,351,182
6778,5901,2647,1925
1977,1729,614,459
509,315,376,204
438,293,258,176
237,173,134,115
437,356,203,128
2769,2202,1610,1036
238,151,164,68
202,174,144,106
45,36,27,16
763,526,342,239
305,239,255,176
86,62,29,27
16,9,15,5
310,209,276,153
84,48,45,21
26,19,14,13
911,596,719,418
604,409,289,220
308,245,161,103
337,219,187,131
145,147,108,64
119,79,98,54
61,36,34,23
193,129,89,80
134,66,61,46
150,91,88,43
397,319,430,292
630,488,365,208
935,751,517,340
224,136,222,128
3010,2512,1431,949
280,198,118,65
101,69,58,24
211,175,106,61
155,121,129,101
2606,2003,1216,775
762,682,463,308
277,196,172,113
233,178,116,71
461,328,439,260
408,291,218,145
41,44,29,15
100,86,124,84
37,18,28,12
131,106,101,41
7,6,15,11
48,33,18,22
53,43,73,28
504,346,240,123
57,66,52,35
91,64,48,25
63,42,36,32
1027,692,460,273
29,17,15,18
11,15,5,17
8,9,2,4
36,26,49,35
54,44,24,22
99,40,70,47
1173,911,591,428
97,69,72,39
189,153,128,76
2,4,8,1
3,12,4,10
13,10,24,15
14,10,10,6
25,15,27,11
426,273,252,132
122,59,86,49
490,412,259,178
66,39,26,19
7,9,13,10
2,2,0,3
27,6,8,6
54,34,33,15
6,5,2,1
13,8,39,18
83,46,28,30
19,12,6,4
47,31,28,19
11,6,7,6
12,8,13,7
148,103,113,88
161,109,116,54
152,105,65,41
9,3,12,0
107,52,80,58
45,18,18,8
113,91,65,52
48,48,25,14
20,17,15,9
15,18,30,11
51,38,41,29
11,0,4,8
17,15,20,9
3,0,1,2
5,4,2,2
39,35,33,20
26,15,6,2
9,2,15,2
4,2,1,3
6,1,2,0
4,2,3,2
6,2,18,2
12,16,2,1
1,0,0,0
9,1,2,0
24,22,22,22
3,2,4,9
16,4,12,3
23,16,23,6
6,2,5,3
10,3,2,1
3,0,0,0
0,0,0,1
1,1,1,0
5,1,1,0
0,0,2,0
15,16,9,9
0,0,0,0
0,0,0,0
1,0,2,0
1162,916,520,382
144,104,69,42
24,14,23,12
1,1,2,4
12,8,11,12
2,2,0,5
7,2,3,3
3,0,0,0
605,542,176,110
17,5,3,0
2,5,1,0
0,0,5,1
16,8,4,1
11,8,6,5
8,12,18,5
0,5,0,3
1,2,3,3
4,0,0,0
7,4,2,0
3,0,5,1
48,39,39,17
5,3,4,5
3,4,3,4
1,1,3,1
57,26,35,24
3,0,2,5
11,4,11,3
14211,11376,5586,3919
4985,2988,2521,1228
354,290,114,68
2158,1740,995,649
3943,2760,2043,1259
132,65,47,28
170,145,72,52
7868,6256,2783,1990
1420,784,504,328
3910,2710,1826,1182
623,382,161,83
773,592,414,261
699,501,396,273
137,104,64,51
1567,1374,652,415
2674,2138,936,546
242,184,141,92
396,284,236,167
244,147,93,75
316,232,146,94
1428,1103,529,388
172,98,121,82
64,57,30,30
8,8,17,5
373,224,199,115
125,72,65,58
47,38,22,18
29,18,26,11
1056,767,496,333
36,22,19,10
16,13,12,6
366,226,184,110
200,176,122,88
289,212,84,50
74,52,46,28
120,87,44,22
178,90,45,25
