1,14,0,9,4,3,45,20,50,8
0,7,1,4,9,15,3,45,50,14
51,2,137,9,17,15,50,10,24,4
3,9,11,0,51,14,1,15,4,10
9,14,0,4,1,8,50,20,15,137
17,32,35,5,9,40,137,21,24,19
6,17,9,137,19,21,5,32,55,4
7,1,45,28,46,20,38,138,63,74
43,55,8,9,20,45,42,12,4,48
10,4,137,9,19,14,3,15,17,8
9,10,51,137,145,4,14,11,19,0
9,3,11,15,10,4,14,0,1,51
12,67,52,20,25,33,9,8,74,48
9,8,0,43,50,12,20,137,45,4
0,9,14,4,15,50,3,11,1,10
9,14,50,1,15,0,20,4,10,3
74,33,16,63,25,12,18,20,41,36
17,21,137,19,9,5,24,35,32,40
41,18,54,74,31,63,76,82,16,25
9,19,17,137,21,10,4,55,8,6
20,45,74,43,8,0,67,12,7,9
21,17,9,19,55,137,48,39,40,8
8,9,43,22,12,45,20,42,0,4
23,85,157,105,75,143,81,66,70,140
51,137,24,17,32,9,15,10,2,35
25,16,12,36,64,76,82,34,53,44
26,39,29,27,65,52,55,72,8,62
27,26,39,29,65,72,55,52,62,68
38,46,99,28,44,97,63,112,103,82
29,26,39,52,62,65,12,48,27,68
119,80,37,88,40,30,90,17,117,9
82,31,74,18,76,41,54,20,53,25
32,17,24,5,137,51,9,15,35,40
33,16,12,74,20,25,84,63,67,18
34,82,74,25,18,31,76,41,54,53
35,17,5,40,137,32,9,24,21,51
75,36,25,57,59,66,49,53,16,83
80,37,90,119,30,117,17,40,146,88
28,38,44,97,99,46,7,112,63,94
39,26,29,72,55,27,65,17,52,21
40,17,88,30,35,37,9,5,80,137
18,41,31,74,76,82,20,54,63,25
8,42,43,9,20,12,55,4,137,67
8,43,20,9,12,45,42,55,4,0
99,44,46,38,28,97,103,63,82,112
20,8,45,7,0,1,9,4,43,12
28,44,46,99,63,38,7,103,97,138
47,62,56,68,52,66,75,16,65,12
52,48,55,12,8,29,21,17,9,16
49,53,122,109,93,83,105,89,100,125
15,50,14,0,4,9,8,1,137,20
2,24,145,10,32,51,3,9,137,14
48,12,52,29,55,65,26,8,39,16
83,49,59,53,101,98,31,107,122,97
76,54,18,31,74,41,20,82,25,44
8,55,48,17,9,52,21,39,12,43
56,64,62,47,61,25,96,66,29,52
36,57,75,53,25,49,16,12,31,157
58,73,104,28,94,44,112,38,161,97
53,59,36,31,49,75,103,101,44,25
60,81,115,23,85,91,79,75,77,157
61,96,56,62,29,66,23,47,70,65
96,116,62,68,65,56,29,47,25,61
99,28,82,44,74,63,46,18,76,16
64,56,25,75,12,16,36,66,52,47
65,29,68,26,62,39,52,96,27,116
66,157,75,36,23,47,85,62,61,25
67,74,20,12,16,0,33,41,8,43
68,62,65,96,47,116,29,56,26,61
69,49,53,125,89,75,122,105,123,100
70,23,66,75,157,61,62,36,47,102
75,71,25,66,36,16,12,53,49,157
72,39,17,26,27,21,29,9,55,65
73,151,58,104,161,133,28,94,44,112
74,63,16,18,20,31,84,41,67,12
75,36,23,66,71,85,49,105,57,102
54,76,82,25,31,63,44,18,41,98
77,81,60,96,62,61,116,79,68,85
159,78,114,79,126,110,146,17,60,91
110,79,78,114,126,91,60,159,81,17
37,80,30,117,40,90,17,119,9,146
115,81,121,140,60,85,23,91,77,157
82,31,98,63,112,44,97,76,101,28
53,83,49,122,101,31,98,82,75,36
84,74,12,63,20,28,33,82,18,16
85,23,157,143,140,75,81,139,115,105
113,86,89,49,127,69,109,95,93,125
90,37,87,146,119,30,17,88,80,40
88,40,30,17,37,119,90,35,21,9
113,89,93,127,49,86,125,123,109,95
90,37,30,80,119,88,146,17,87,40
162,91,142,144,141,130,60,108,81,79
92,31,82,101,53,98,74,59,122,83
93,49,95,109,89,113,124,127,122,98
94,73,28,104,38,44,112,58,97,99
113,127,93,109,95,124,89,49,125,86
62,96,116,61,68,65,56,77,66,85
44,97,103,28,82,99,38,112,98,101
107,98,82,53,97,109,44,101,76,28
44,28,99,63,97,103,46,38,82,74
49,100,53,69,105,122,125,75,89,83
101,53,82,97,98,83,107,44,31,49
75,102,66,25,36,157,70,56,61,64
97,44,99,103,28,63,82,25,46,31
104,73,58,28,94,44,161,38,97,112
105,157,23,49,75,139,85,36,53,69
106,97,44,98,82,28,73,124,109,107
98,107,53,82,101,49,122,97,109,89
129,131,128,108,111,141,147,91,118,132
109,124,113,49,93,95,127,98,89,101
79,110,78,126,114,159,91,81,60,146
132,152,111,147,118,108,134,131,128,141
28,112,82,44,38,97,73,58,94,99
89,113,95,127,109,93,124,49,86,98
114,78,79,159,146,126,110,17,160,91
81,115,140,60,85,121,139,23,157,91
62,96,116,65,68,56,61,66,81,85
117,80,37,30,40,17,90,88,8,119
120,118,136,135,153,111,152,147,108,132
30,119,37,40,88,90,17,80,9,146
118,120,136,153,135,111,152,147,132,108
81,121,139,115,140,105,85,60,23,75
49,122,53,83,101,125,98,107,89,109
123,89,49,69,125,122,109,86,95,53
124,109,113,127,93,49,95,89,98,44
125,49,89,69,122,53,95,113,123,93
126,159,79,78,114,110,60,81,91,146
127,113,95,89,124,109,93,86,49,125
108,128,131,129,111,147,132,141,134,91
108,129,131,128,141,111,130,147,91,132
141,130,91,144,142,129,108,131,162,79
131,108,129,128,111,132,141,147,91,130
111,132,147,152,131,108,128,118,129,134
133,73,161,44,28,58,97,163,151,112
111,147,134,132,128,152,108,131,129,118
118,135,120,111,153,136,147,132,152,108
118,136,120,153,135,111,132,147,141,108
137,9,145,17,24,32,2,10,19,6
138,28,7,46,74,63,12,20,44,84
139,105,140,121,85,23,115,81,157,75
140,85,81,115,139,23,143,157,105,60
141,144,142,130,91,108,162,111,131,147
91,141,162,142,144,130,108,60,129,147
85,143,23,157,140,75,105,139,81,66
141,144,91,142,162,130,108,129,131,111
137,51,145,9,10,4,50,17,24,19
160,146,79,114,17,37,21,78,90,30
147,111,108,152,132,128,118,131,141,134
150,148,149,73,158,44,28,163,151,161
149,158,150,73,151,148,44,104,28,161
148,150,149,158,73,151,28,44,163,104
151,73,161,28,44,149,150,158,58,112
111,152,132,147,118,108,153,134,131,120
118,153,120,111,152,136,135,132,147,108
155,154,156,17,37,146,21,79,9,30
154,155,156,17,37,146,79,21,160,25
156,155,154,17,37,146,79,21,40,65
157,23,85,105,66,75,81,143,139,49
158,149,150,151,73,163,148,44,161,104
78,159,126,79,114,110,17,60,91,146
146,160,17,114,79,37,78,90,21,30
161,163,73,151,133,44,28,58,104,97
91,162,142,141,144,130,108,60,79,81
163,161,73,44,28,150,58,151,133,158
