Date,DayNum,Precp,Time,T
2014-06-17,168,0.0,0.0,0
2014-06-18,169,0.1,0.3,2
2014-06-19,170,2.6,2.2,2
2014-06-20,171,15.7,3.3,0
2014-06-21,172,0.5,1.1,0
2014-06-22,173,23.55,7.4,1
2014-06-23,174,58.05,5.7,1
2014-06-24,175,0.55,0.6,1
2014-06-25,176,21.1,2.2,2
2014-06-26,177,0.0,0.0,0
2014-06-27,178,0.0,0.0,0
2014-06-28,179,0.0,0.0,0
2014-06-29,180,65.55,5.7,1
2014-06-30,181,10.1,5.5,2
2014-07-01,182,6.05,1.7,1
2014-07-02,183,0.0,0.0,0
2014-07-03,184,0.0,0.0,0
2014-07-04,185,0.1,0.5,2
2014-07-05,186,0.0,0.0,0
2014-07-06,187,0.0,0.0,0
2014-07-07,188,0.05,0.5,1
2014-07-08,189,14.35,8.5,7
2014-07-09,190,0.0,0.0,0
2014-07-10,191,0.0,0.0,0
2014-07-11,192,2.6,4.0,2
2014-07-12,193,0.0,0.0,0
2014-07-13,194,0.0,0.0,0
2014-07-14,195,28.55,2.2,1
2014-07-15,196,0.05,0.2,1
2014-07-16,197,0.0,0.0,0
2014-07-17,198,0.0,0.0,0
2014-07-18,199,0.0,0.0,0
2014-07-19,200,0.0,0.0,0
2014-07-20,201,0.0,0.0,0
2014-07-21,202,0.0,0.0,0
2014-07-22,203,29.8,10.5,6
2014-07-23,204,45.55,18.4,1
2014-07-24,205,0.0,0.0,0
2014-07-25,206,54.55,5.4,1
2014-07-26,207,0.0,0.0,0
2014-07-27,208,0.0,0.0,0
2014-07-28,209,0.0,0.0,0
2014-07-29,210,0.0,0.0,0
2014-07-30,211,0.65,0.4,1
2014-07-31,212,41.05,3.1,1
2014-08-01,213,0.0,0.0,0
2014-08-02,214,0.5,0.4,0
2014-08-03,215,0.1,1.1,2
2014-08-04,216,0.55,0.5,1
2014-08-05,217,0.05,0.3,1
2014-08-06,218,0.05,0.5,1
2014-08-07,219,2.0,0.3,0
2014-08-08,220,0.0,0.0,0
2014-08-09,221,0.0,0.0,0
2014-08-10,222,0.1,0.6,2
2014-08-11,223,1.7,2.9,4
2014-08-12,224,1.1,1.0,2
2014-08-13,225,33.5,5.2,0
2014-08-14,226,0.0,0.0,0
2014-08-15,227,0.0,0.0,0
2014-08-16,228,4.5,1.4,0
2014-08-17,229,0.0,0.0,0
2014-08-18,230,11.55,2.3,1
2014-08-19,231,24.55,4.9,1
2014-08-20,232,0.0,0.0,0
2014-08-21,233,0.0,0.0,0
2014-08-22,234,0.0,0.0,0
2014-08-23,235,0.0,0.0,0
2014-08-24,236,0.0,0.0,0
2014-08-25,237,0.0,0.0,0
2014-08-26,238,0.0,0.0,0
2014-08-27,239,0.0,0.0,0
2014-08-28,240,0.0,0.0,0
2014-08-29,241,0.0,0.0,0
2014-08-30,242,4.5,0.6,0
2014-08-31,243,0.0,0.0,0
2014-09-01,244,0.0,0.0,0
2014-09-02,245,0.0,0.0,0
2014-09-03,246,0.0,0.0,0
2014-09-04,247,0.0,0.0,0
2014-09-05,248,0.0,0.0,0
2014-09-06,249,0.0,0.0,0
2014-09-07,250,0.0,0.0,0
2014-09-08,251,0.0,0.0,0
2014-09-09,252,4.0,0.9,0
2014-09-10,253,0.5,1.0,2
2014-09-11,254,0.0,0.0,0
2014-09-12,255,0.0,0.0,0
2014-09-13,256,0.0,0.0,0
2014-09-14,257,0.0,0.0,0
2014-09-15,258,0.0,0.0,0
2014-09-16,259,0.0,0.0,0
2014-09-17,260,0.0,0.0,0
2014-09-18,261,0.0,0.0,0
2014-09-19,262,0.0,0.0,0
2014-09-20,263,0.0,0.0,0
2014-09-21,264,67.75,11.1,5
2014-09-22,265,97.6,9.3,2
2014-09-23,266,15.1,4.7,2
2014-09-24,267,13.7,9.5,4
2014-09-25,268,0.0,0.0,0
2014-09-26,269,0.0,0.0,0
2014-09-27,270,0.0,0.0,0
2014-09-28,271,0.0,0.0,0
2014-09-29,272,0.0,0.0,0
2014-09-30,273,1.05,0.9,1
2014-10-01,274,0.75,2.9,5
2014-10-02,275,0.0,0.0,0
2014-10-03,276,0.0,0.0,0
2014-10-04,277,0.15,0.5,3
2014-10-05,278,0.0,0.0,0
2014-10-06,279,0.1,0.4,2
2014-10-07,280,0.25,1.1,5
2014-10-08,281,0.6,0.7,2
2014-10-09,282,11.2,10.0,4
2014-10-10,283,9.3,9.1,6
2014-10-11,284,4.8,18.1,16
2014-10-12,285,0.7,4.1,4
2014-10-13,286,0.0,0.0,0
2014-10-14,287,0.0,0.0,0
2014-10-15,288,0.0,0.0,0
2014-10-16,289,0.0,0.0,0
2014-10-17,290,0.0,0.0,0
2014-10-18,291,0.0,0.0,0
2014-10-19,292,0.0,0.0,0
2014-10-20,293,0.0,0.0,0
2014-10-21,294,0.0,0.0,0
2014-10-22,295,0.25,2.1,5
2014-10-23,296,0.0,0.0,0
2014-10-24,297,0.0,0.0,0
2014-10-25,298,0.0,0.0,0
2014-10-26,299,0.0,0.0,0
2014-10-27,300,0.0,0.0,0
2014-10-28,301,0.0,0.0,0
2014-10-29,302,0.0,0.0,0
2014-10-30,303,0.0,0.0,0
2014-10-31,304,0.0,0.0,0
2014-11-01,305,0.1,1.2,2
2014-11-02,306,6.2,7.1,4
2014-11-03,307,0.1,0.7,2
2014-11-04,308,0.0,0.0,0
2014-11-05,309,0.0,0.0,0
2014-11-06,310,0.0,0.0,0
2014-11-07,311,0.0,0.0,0
2014-11-08,312,0.0,0.0,0
2014-11-09,313,9.7,8.4,4
2014-11-10,314,0.0,0.0,0
2014-11-11,315,0.0,0.0,0
2014-11-12,316,1.8,6.5,6
2014-11-13,317,14.4,17.0,8
2014-11-14,318,0.05,0.5,1
2014-11-15,319,4.85,9.6,7
2014-11-16,320,1.1,3.2,2
2014-11-17,321,8.5,21.3,10
2014-11-18,322,1.65,5.4,3
2014-11-19,323,0.0,0.0,0
2014-11-20,324,0.0,0.0,0
2014-11-21,325,0.0,0.0,0
2014-11-22,326,0.0,0.0,0
2014-11-23,327,0.0,0.0,0
2014-11-24,328,0.0,0.0,0
2014-11-25,329,0.0,0.0,0
2014-11-26,330,0.0,0.0,0
2014-11-27,331,0.1,0.7,2
2014-11-28,332,0.0,0.0,0
2014-11-29,333,0.0,0.0,0
2014-11-30,334,0.0,0.0,0
2014-12-01,335,10.85,9.8,7
2014-12-02,336,2.15,5.3,3
2014-12-03,337,2.15,2.2,3
2014-12-04,338,27.05,14.8,1
2014-12-05,339,0.0,0.0,0
2014-12-06,340,0.0,0.0,0
2014-12-07,341,0.0,0.0,0
2014-12-08,342,6.0,11.4,10
