This file is used to record the total travel of each day 
2014-07-18,199,68461,5
2014-07-19,200,62821,6
2014-07-20,201,57134,7
2014-07-21,202,63646,1
2014-07-22,203,34098,2
2014-07-23,204,9215,3
2014-07-24,205,70293,4
2014-07-25,206,49058,5
2014-07-26,207,67016,6
2014-07-27,208,59507,7
2014-07-28,209,65936,1
2014-07-29,210,67699,2
2014-07-30,211,67818,3
2014-07-31,212,64521,4
2014-08-01,213,68585,5
2014-08-02,214,60502,6
2014-08-03,215,53665,7
2014-08-04,216,66645,1
2014-08-05,217,67929,2
2014-08-06,218,66901,3
2014-08-07,219,71085,4
2014-08-08,220,67780,5
2014-08-09,221,58932,6
2014-08-10,222,57681,7
2014-08-11,223,55466,1
2014-08-12,224,70687,2
2014-08-13,225,50896,3
2014-08-14,226,72275,4
2014-08-15,227,71854,5
2014-08-16,228,64327,6
2014-08-17,229,64499,7
2014-08-18,230,59780,1
2014-08-19,231,43600,2
2014-08-20,232,70729,3
2014-08-21,233,71881,4
2014-08-22,234,71829,5
2014-08-23,235,68110,6
2014-08-24,236,59576,7
2014-08-25,237,69343,1
2014-08-26,238,69640,2
2014-08-27,239,69102,3
2014-08-28,240,70093,4
2014-08-29,241,69647,5
2014-08-30,242,64950,6
2014-08-31,243,61174,7
2014-09-01,244,65345,1
2014-09-02,245,65663,2
2014-09-03,246,65743,3
2014-09-04,247,63364,4
2014-09-05,248,63467,5
2014-09-06,249,53200,6
2014-09-07,250,51011,7
2014-09-08,251,50096,1
2014-09-09,252,58326,2
2014-09-10,253,1404,3
2014-09-11,254,3830,4
2014-09-12,255,61156,5
2014-09-13,256,5326,6
2014-09-14,257,55064,7
2014-09-15,258,56774,1
2014-09-16,259,1562,2
2014-09-17,260,2086,3
2014-09-18,261,4485,4
2014-09-19,262,64814,5
2014-09-20,263,61683,6
2014-09-21,264,24043,7
2014-09-22,265,46967,1
2014-09-23,266,47471,2
2014-09-24,267,38312,3
2014-09-25,268,66358,4
2014-09-26,269,72606,5
2014-09-27,270,69328,6
2014-09-28,271,62770,7
2014-09-29,272,65787,1
2014-09-30,273,61907,2
2014-10-01,274,59655,3
2014-10-02,275,68441,4
2014-10-03,276,74943,5
2014-10-04,277,74628,6
2014-10-05,278,66032,7
2014-10-06,279,66637,1
2014-10-07,280,65387,2
2014-10-08,281,70835,3
2014-10-09,282,43696,4
2014-10-10,283,27969,5
2014-10-11,284,33404,6
2014-10-12,285,62556,7
2014-10-13,286,69588,1
2014-10-14,287,70904,2
2014-10-15,288,72632,3
2014-10-16,289,70699,4
2014-10-17,290,75734,5
2014-10-18,291,73971,6
2014-10-19,292,66403,7
2014-10-20,293,66768,1
2014-10-21,294,68710,2
2014-10-22,295,59618,3
2014-10-23,296,72401,4
2014-10-24,297,76656,5
2014-10-25,298,73039,6
2014-10-26,299,61962,7
2014-10-27,300,65294,1
2014-10-28,301,70173,2
2014-10-29,302,68969,3
